TStates,Addr,WStates,OpType,IStates
6,0x0038, ,RR,4
10,0x3F2A, ,RN,1
17,0x0039, ,RR,4
21,0x3F2B, ,RN,1
28,0x003A, ,RR,4
44,0x003D, ,RR,4
48,0x3F2D, ,RN,1
49,0x3F2D, ,RN,1
50,0x003E, ,RR,4
66,0x0041, ,RR,4
70,0x0042, ,RR,4
74,0x0043, ,RR,4
81,0x0044, ,RN,1
82,0x0044, ,RN,1
83,0x0044, ,RN,1
84,0x0044, ,RN,1
85,0x0044, ,RN,1
86,0x0048, ,RR,4
90,0x3F32, ,RN,1
97,0x0049, ,RR,4
101,0x3F33, ,RN,1
108,0x004A, ,RR,4
118,0x004C, ,RN,1
125,0x02BF, ,RR,4
135,0x02C1, ,RN,1
142,0x028E, ,RR,4
149,0x0290, ,RR,4
159,0x0293, ,RR,4
169,0x0296, ,RR,4
173,0x0297, ,RR,4
181,0x0298, ,RR,4
185,0x0299, ,RR,4
192,0x029B, ,RR,4
199,0x029C, ,RN,1
200,0x029C, ,RN,1
201,0x029C, ,RN,1
202,0x029C, ,RN,1
203,0x029C, ,RN,1
204,0x02AB, ,RR,4
208,0x02AC, ,RR,4
212,0x02AD, ,RR,4
216,0x02AE, ,RR,4
223,0x02AF, ,RN,1
224,0x02AF, ,RN,1
225,0x02AF, ,RN,1
226,0x02AF, ,RN,1
227,0x02AF, ,RN,1
228,0x0296, ,RR,4
232,0x0297, ,RR,4
240,0x0298, ,RR,4
244,0x0299, ,RR,4
251,0x029B, ,RR,4
258,0x029C, ,RN,1
259,0x029C, ,RN,1
260,0x029C, ,RN,1
261,0x029C, ,RN,1
262,0x029C, ,RN,1
263,0x02AB, ,RR,4
267,0x02AC, ,RR,4
271,0x02AD, ,RR,4
275,0x02AE, ,RR,4
282,0x02AF, ,RN,1
283,0x02AF, ,RN,1
284,0x02AF, ,RN,1
285,0x02AF, ,RN,1
286,0x02AF, ,RN,1
287,0x0296, ,RR,4
291,0x0297, ,RR,4
299,0x0298, ,RR,4
303,0x0299, ,RR,4
310,0x029B, ,RR,4
317,0x029C, ,RN,1
318,0x029C, ,RN,1
319,0x029C, ,RN,1
320,0x029C, ,RN,1
321,0x029C, ,RN,1
322,0x02AB, ,RR,4
326,0x02AC, ,RR,4
330,0x02AD, ,RR,4
334,0x02AE, ,RR,4
341,0x02AF, ,RN,1
342,0x02AF, ,RN,1
343,0x02AF, ,RN,1
344,0x02AF, ,RN,1
345,0x02AF, ,RN,1
346,0x0296, ,RR,4
350,0x0297, ,RR,4
358,0x0298, ,RR,4
362,0x0299, ,RR,4
369,0x029B, ,RR,4
376,0x029C, ,RN,1
377,0x029C, ,RN,1
378,0x029C, ,RN,1
379,0x029C, ,RN,1
380,0x029C, ,RN,1
381,0x02AB, ,RR,4
385,0x02AC, ,RR,4
389,0x02AD, ,RR,4
393,0x02AE, ,RR,4
400,0x02AF, ,RN,1
401,0x02AF, ,RN,1
402,0x02AF, ,RN,1
403,0x02AF, ,RN,1
404,0x02AF, ,RN,1
405,0x0296, ,RR,4
409,0x0297, ,RR,4
417,0x0298, ,RR,4
421,0x0299, ,RR,4
428,0x029B, ,RR,4
435,0x029C, ,RN,1
436,0x029C, ,RN,1
437,0x029C, ,RN,1
438,0x029C, ,RN,1
439,0x029C, ,RN,1
440,0x02AB, ,RR,4
444,0x02AC, ,RR,4
448,0x02AD, ,RR,4
452,0x02AE, ,RR,4
459,0x02AF, ,RN,1
460,0x02AF, ,RN,1
461,0x02AF, ,RN,1
462,0x02AF, ,RN,1
463,0x02AF, ,RN,1
464,0x0296, ,RR,4
468,0x0297, ,RR,4
476,0x0298, ,RR,4
480,0x0299, ,RR,4
487,0x029B, ,RR,4
494,0x029C, ,RN,1
495,0x029C, ,RN,1
496,0x029C, ,RN,1
497,0x029C, ,RN,1
498,0x029C, ,RN,1
499,0x02AB, ,RR,4
503,0x02AC, ,RR,4
507,0x02AD, ,RR,4
511,0x02AE, ,RR,4
518,0x02AF, ,RN,1
519,0x02AF, ,RN,1
520,0x02AF, ,RN,1
521,0x02AF, ,RN,1
522,0x02AF, ,RN,1
523,0x0296, ,RR,4
527,0x0297, ,RR,4
535,0x0298, ,RR,4
539,0x0299, ,RR,4
546,0x029B, ,RR,4
553,0x029C, ,RN,1
554,0x029C, ,RN,1
555,0x029C, ,RN,1
556,0x029C, ,RN,1
557,0x029C, ,RN,1
558,0x02AB, ,RR,4
562,0x02AC, ,RR,4
566,0x02AD, ,RR,4
570,0x02AE, ,RR,4
577,0x02AF, ,RN,1
578,0x02AF, ,RN,1
579,0x02AF, ,RN,1
580,0x02AF, ,RN,1
581,0x02AF, ,RN,1
582,0x0296, ,RR,4
586,0x0297, ,RR,4
594,0x0298, ,RR,4
598,0x0299, ,RR,4
605,0x029B, ,RR,4
612,0x029C, ,RN,1
613,0x029C, ,RN,1
614,0x029C, ,RN,1
615,0x029C, ,RN,1
616,0x029C, ,RN,1
617,0x02AB, ,RR,4
621,0x02AC, ,RR,4
625,0x02AD, ,RR,4
629,0x02AE, ,RR,4
633,0x02AF, ,RR,3
636,0x02B0, ,RR,4
640,0x02B1, ,RR,4
644,0x02B2, ,RR,4
648,0x3F03, ,RN,1
655,0x02C2, ,RR,4
659,0x3F04, ,RN,1
