TStates,Addr,WStates,OpType,IStates
6,0x87AB, ,RR,4
10,0x87AC, ,RR,4
20,0x4DB3, ,WN,1
21,0x4DB3, ,WN,1
22,0x4DB3, ,WN,1
23,0x4DB3, ,WN,1
24,0x4DB3, ,WN,1
25,0x4DB3, ,WN,1
26,0x4DB3, ,WN,1
27,0x87AB, ,RR,4
31,0x87AC, ,RR,4
41,0x4DB4, ,WN,1
42,0x4DB4, ,WN,1
43,0x4DB4, ,WN,1
44,0x4DB4, ,WN,1
45,0x4DB4, ,WN,1
46,0x4DB4, ,WN,1
47,0x4DB4, ,WN,1
48,0x87AB, ,RR,4
52,0x87AC, ,RR,4
62,0x4DB5, ,WN,1
63,0x4DB5, ,WN,1
64,0x4DB5, ,WN,1
65,0x4DB5, ,WN,1
66,0x4DB5, ,WN,1
67,0x4DB5, ,WN,1
68,0x4DB5, ,WN,1
69,0x87AB, ,RR,4
73,0x87AC, ,RR,4
83,0x4DB6, ,WN,1
84,0x4DB6, ,WN,1
85,0x4DB6, ,WN,1
86,0x4DB6, ,WN,1
87,0x4DB6, ,WN,1
88,0x4DB6, ,WN,1
89,0x4DB6, ,WN,1
90,0x87AB, ,RR,4
94,0x87AC, ,RR,4
104,0x4DB7, ,WN,1
105,0x4DB7, ,WN,1
106,0x4DB7, ,WN,1
107,0x4DB7, ,WN,1
108,0x4DB7, ,WN,1
109,0x4DB7, ,WN,1
110,0x4DB7, ,WN,1
111,0x87AB, ,RR,4
115,0x87AC, ,RR,4
125,0x4DB8, ,WN,1
126,0x4DB8, ,WN,1
127,0x4DB8, ,WN,1
128,0x4DB8, ,WN,1
129,0x4DB8, ,WN,1
130,0x4DB8, ,WN,1
131,0x4DB8, ,WN,1
132,0x87AB, ,RR,4
136,0x87AC, ,RR,4
146,0x4DB9, ,WN,1
147,0x4DB9, ,WN,1
148,0x4DB9, ,WN,1
149,0x4DB9, ,WN,1
150,0x4DB9, ,WN,1
151,0x4DB9, ,WN,1
152,0x4DB9, ,WN,1
153,0x87AB, ,RR,4
157,0x87AC, ,RR,4
167,0x4DBA, ,WN,1
168,0x4DBA, ,WN,1
169,0x4DBA, ,WN,1
170,0x4DBA, ,WN,1
171,0x4DBA, ,WN,1
172,0x4DBA, ,WN,1
173,0x4DBA, ,WN,1
174,0x87AB, ,RR,4
178,0x87AC, ,RR,4
188,0x4DBB, ,WN,1
189,0x4DBB, ,WN,1
190,0x4DBB, ,WN,1
191,0x4DBB, ,WN,1
192,0x4DBB, ,WN,1
193,0x4DBB, ,WN,1
194,0x4DBB, ,WN,1
195,0x87AB, ,RR,4
199,0x87AC, ,RR,4
209,0x4DBC, ,WN,1
210,0x4DBC, ,WN,1
211,0x4DBC, ,WN,1
212,0x4DBC, ,WN,1
213,0x4DBC, ,WN,1
214,0x4DBC, ,WN,1
