TStates,Addr,WStates,OpType
14,0x6DB3, ,R
17,0x4DB3, ,W
20,0x4DB3, ,WN
21,0x4DB3, ,WN
22,0x4DB3, ,WN
23,0x4DB3, ,WN
24,0x4DB3, ,WN
25,0x4DB3, ,WN
26,0x4DB3, ,WN
35,0x6DB4, ,R
38,0x4DB4, ,W
41,0x4DB4, ,WN
42,0x4DB4, ,WN
43,0x4DB4, ,WN
44,0x4DB4, ,WN
45,0x4DB4, ,WN
46,0x4DB4, ,WN
47,0x4DB4, ,WN
56,0x6DB5, ,R
59,0x4DB5, ,W
62,0x4DB5, ,WN
63,0x4DB5, ,WN
64,0x4DB5, ,WN
65,0x4DB5, ,WN
66,0x4DB5, ,WN
67,0x4DB5, ,WN
68,0x4DB5, ,WN
77,0x6DB6, ,R
80,0x4DB6, ,W
83,0x4DB6, ,WN
84,0x4DB6, ,WN
85,0x4DB6, ,WN
86,0x4DB6, ,WN
87,0x4DB6, ,WN
88,0x4DB6, ,WN
89,0x4DB6, ,WN
98,0x6DB7, ,R
101,0x4DB7, ,W
104,0x4DB7, ,WN
105,0x4DB7, ,WN
106,0x4DB7, ,WN
107,0x4DB7, ,WN
108,0x4DB7, ,WN
109,0x4DB7, ,WN
110,0x4DB7, ,WN
119,0x6DB8, ,R
122,0x4DB8, ,W
125,0x4DB8, ,WN
126,0x4DB8, ,WN
127,0x4DB8, ,WN
128,0x4DB8, ,WN
129,0x4DB8, ,WN
130,0x4DB8, ,WN
131,0x4DB8, ,WN
140,0x6DB9, ,R
143,0x4DB9, ,W
146,0x4DB9, ,WN
147,0x4DB9, ,WN
148,0x4DB9, ,WN
149,0x4DB9, ,WN
150,0x4DB9, ,WN
151,0x4DB9, ,WN
152,0x4DB9, ,WN
161,0x6DBA, ,R
164,0x4DBA, ,W
167,0x4DBA, ,WN
168,0x4DBA, ,WN
169,0x4DBA, ,WN
170,0x4DBA, ,WN
171,0x4DBA, ,WN
172,0x4DBA, ,WN
173,0x4DBA, ,WN
182,0x6DBB, ,R
185,0x4DBB, ,W
188,0x4DBB, ,WN
189,0x4DBB, ,WN
190,0x4DBB, ,WN
191,0x4DBB, ,WN
192,0x4DBB, ,WN
193,0x4DBB, ,WN
194,0x4DBB, ,WN
203,0x6DBC, ,R
206,0x4DBC, ,W
209,0x4DBC, ,WN
210,0x4DBC, ,WN
211,0x4DBC, ,WN
212,0x4DBC, ,WN
213,0x4DBC, ,WN
214,0x4DBC, ,WN
215,0x4DBC, ,WN
224,0x6DBD, ,R
227,0x4DBD, ,W
230,0x4DBD, ,WN
231,0x4DBD, ,WN
232,0x4DBD, ,WN
233,0x4DBD, ,WN
234,0x4DBD, ,WN
235,0x4DBD, ,WN
236,0x4DBD, ,WN
245,0x6DBE, ,R
248,0x4DBE, ,W
251,0x4DBE, ,WN
252,0x4DBE, ,WN
253,0x4DBE, ,WN
254,0x4DBE, ,WN
255,0x4DBE, ,WN
256,0x4DBE, ,WN
257,0x4DBE, ,WN
266,0x6DBF, ,R
269,0x4DBF, ,W
272,0x4DBF, ,WN
273,0x4DBF, ,WN
274,0x4DBF, ,WN
